version,w,s,i,time (ms)
txact,1,26,13,15797.292
txact,1,26,14,15879.005
txact,1,26,15,15816.616
txact,1,26,21,15257.814
txact,1,26,22,15406.111
txact,1,26,23,16845.653
txact,1,26,24,15967.085
txact,1,26,25,15347.528
txact,1,26,31,15379.916
txact,1,26,32,17254.337
txact,1,26,33,16690.203
txact,1,26,34,16880.850
txact,1,26,35,15326.452
txact,1,28,11,15221.058
txact,1,28,12,16350.979
txact,1,28,13,15437.188
txact,1,28,14,15223.270
txact,1,28,15,15731.715
txact,1,28,21,15314.409
txact,1,28,22,16583.698
txact,1,28,23,16191.239
txact,1,28,24,15034.776
txact,1,28,25,15927.082
txact,1,28,31,15381.698
txact,1,28,32,14737.816
txact,1,28,33,15628.347
txact,1,28,34,15979.732
txact,1,28,35,15254.969
txact,1,30,11,15698.887
txact,1,30,12,15628.661
txact,1,30,13,15554.365
txact,1,30,14,16579.160
txact,1,30,15,17192.284
txact,1,30,21,15428.886
txact,1,30,22,15209.908
txact,1,30,23,15265.703
txact,1,30,24,15898.668
txact,1,30,25,16957.908
txact,1,30,31,16312.136
txact,1,30,32,15941.272
txact,1,30,33,15013.517
txact,1,30,34,16479.092
txact,1,30,35,14782.608
txact,1,32,11,16125.572
txact,1,32,12,15099.457
txact,1,32,13,14851.284
txact,1,32,14,15911.562
txact,1,32,15,15207.402
txact,1,32,21,14944.935
txact,1,32,22,17081.361
txact,1,32,23,16237.324
txact,1,32,24,15145.384
txact,1,32,25,15066.823
txact,1,32,31,15876.218
txact,1,32,32,15484.133
txact,1,32,33,16652.195
txact,1,32,34,15360.979
txact,1,32,35,16233.525
txact,1,34,11,15938.034
txact,1,34,12,15768.905
txact,1,34,13,17706.445
txact,1,34,14,16268.231
txact,1,34,15,16419.431
txact,1,34,21,15034.777
txact,1,34,22,15064.377
txact,1,34,23,16228.254
txact,1,34,24,14823.518
txact,1,34,25,15398.796
txact,1,34,31,15561.703
txact,1,34,32,15019.913
txact,1,34,33,15279.029
txact,1,34,34,16806.026
txact,1,34,35,15054.109
txact,1,36,11,17870.888
txact,1,36,12,14934.546
txact,1,36,13,15239.865
txact,1,36,14,16786.056
txact,1,36,15,14319.396
txact,1,36,21,15002.087
txact,1,36,22,15891.641
txact,1,36,23,15050.364
txact,1,36,24,14892.537
txact,1,36,25,15337.475
txact,1,36,31,16914.550
txact,1,36,32,16451.242
txact,1,36,33,14696.050
txact,1,36,34,14679.224
txact,1,36,35,15582.724
txact,1,38,11,14214.834
txact,1,38,12,15173.820
txact,1,38,13,15246.348
txact,1,38,14,16928.728
txact,1,38,15,15028.095
txact,1,38,21,15737.158
txact,1,38,22,16144.856
txact,1,38,23,16105.768
txact,1,38,24,14917.413
txact,1,38,25,17593.799
txact,1,38,31,16238.879
txact,1,38,32,15063.353
txact,1,38,33,14738.427
txact,1,38,34,14821.872
txact,1,38,35,14855.106
txact,1,4,11,16154.363
txact,1,4,12,16094.190
txact,1,4,13,16995.011
txact,1,4,14,17818.620
